Date;Price;Vol.;Change %
12/31/2024;39.3;64.37M;-0.81%
12/30/2024;39.62;67.88M;0.71%
12/27/2024;39.34;70.03M;-0.35%
12/26/2024;39.48;53.93M;0.20%
12/25/2024;39.4;75.59M;0.46%
12/24/2024;39.22;99.34M;2.27%
12/23/2024;38.35;90.27M;1.16%
12/20/2024;37.91;54.22M;-0.29%
12/19/2024;38.02;61.12M;-1.30%
12/18/2024;38.52;80.59M;1.77%
12/17/2024;37.85;60.31M;0.29%
12/16/2024;37.74;64.03M;1.18%
12/13/2024;37.3;111.80M;-3.87%
12/12/2024;38.8;58.69M;1.31%
12/11/2024;38.3;51.77M;-0.78%
12/10/2024;38.6;103.90M;2.39%
12/9/2024;37.7;49.30M;0.00%
12/6/2024;37.7;87.72M;2.14%
12/5/2024;36.91;56.89M;0.27%
12/4/2024;36.81;62.05M;-0.84%
12/3/2024;37.12;72.20M;1.67%
12/2/2024;36.51;42.47M;0.47%
11/29/2024;36.34;66.44M;-0.36%
11/28/2024;36.47;45.19M;-0.36%
11/27/2024;36.6;39.21M;0.58%
11/26/2024;36.39;45.94M;0.47%
11/25/2024;36.22;53.41M;-0.63%
11/22/2024;36.45;69.05M;-2.62%
11/21/2024;37.43;35.03M;-0.13%
11/20/2024;37.48;45.13M;-0.64%
11/19/2024;37.72;52.12M;-0.47%
11/18/2024;37.9;76.34M;0.21%
11/15/2024;37.82;69.93M;-0.63%
11/14/2024;38.06;67.64M;0.63%
11/13/2024;37.82;48.53M;0.61%
11/12/2024;37.59;89.33M;-1.93%
11/11/2024;38.33;70.31M;-1.21%
11/8/2024;38.8;74.54M;-1.95%
11/7/2024;39.57;74.35M;2.62%
11/6/2024;38.56;64.83M;-1.33%
11/5/2024;39.08;62.87M;0.85%
11/4/2024;38.75;64.66M;1.95%
11/1/2024;38.01;70.31M;1.74%
10/31/2024;37.36;85.04M;-1.37%
10/30/2024;37.88;70.34M;-1.87%
10/29/2024;38.6;51.47M;0.21%
10/28/2024;38.52;66.46M;-1.48%
10/25/2024;39.1;44.79M;-0.53%
10/24/2024;39.31;33.63M;-0.88%
10/23/2024;39.66;62.71M;1.25%
10/22/2024;39.17;60.05M;0.82%
10/21/2024;38.85;71.75M;-0.51%
10/18/2024;39.05;92.82M;1.45%
10/17/2024;38.49;84.89M;-2.56%
10/16/2024;39.5;101.25M;2.60%
10/15/2024;38.5;95.60M;-2.11%
10/14/2024;39.33;129.29M;2.34%
10/11/2024;38.43;90.35M;-0.77%
10/10/2024;38.73;143.33M;4.65%
10/9/2024;37.01;185.59M;-7.48%
10/8/2024;40;297.30M;6.35%
09/30/2024;37.61;256.10M;5.56%
09/27/2024;35.63;74.55M;0.71%
09/26/2024;35.38;174.53M;3.60%
09/25/2024;34.15;185.62M;3.08%
09/24/2024;33.13;136.12M;5.54%
09/23/2024;31.39;34.46M;1.45%
09/20/2024;30.94;48.74M;0.39%
09/19/2024;30.82;45.12M;-0.93%
09/18/2024;31.11;41.85M;1.67%
09/13/2024;30.6;49.60M;1.22%
9/12/2024;30.23;41.03M;0.50%
9/11/2024;30.08;41.58M;-0.36%
9/10/2024;30.19;47.60M;-0.17%
9/9/2024;30.24;87.11M;-3.23%
9/6/2024;31.25;38.32M;0.16%
9/5/2024;31.2;54.21M;-0.51%
9/4/2024;31.36;38.05M;-0.82%
9/3/2024;31.62;50.58M;-0.97%
9/2/2024;31.93;55.80M;-0.68%
08/30/2024;32.15;111.22M;-2.37%
08/29/2024;32.93;51.64M;-2.23%
08/28/2024;33.68;41.52M;-0.06%
08/27/2024;33.7;38.72M;-0.21%
08/26/2024;33.77;35.12M;0.21%
08/23/2024;33.7;46.56M;1.20%
08/22/2024;33.3;38.29M;0.18%
08/21/2024;33.24;37.81M;-0.72%
08/20/2024;33.48;42.37M;0.18%
08/19/2024;33.42;42.28M;0.81%
08/16/2024;33.15;41.85M;1.19%
08/15/2024;32.76;73.98M;2.82%
08/14/2024;31.86;28.24M;-0.25%
08/13/2024;31.94;28.24M;-0.56%
8/12/2024;32.12;31.89M;-0.65%
8/9/2024;32.33;48.27M;1.25%
8/8/2024;31.93;39.46M;1.11%
8/7/2024;31.58;39.07M;-0.38%
8/6/2024;31.7;51.44M;-1.25%
8/5/2024;32.1;58.44M;-0.56%
8/2/2024;32.28;38.61M;-1.31%
8/1/2024;32.71;40.91M;-0.06%
07/31/2024;32.73;59.54M;0.96%
07/30/2024;32.42;39.08M;-0.09%
07/29/2024;32.45;41.35M;0.25%
07/26/2024;32.37;60.15M;-1.40%
07/25/2024;32.83;76.21M;-1.05%
07/24/2024;33.18;48.25M;-0.48%
07/23/2024;33.34;53.88M;0.00%
07/22/2024;33.34;80.82M;-2.66%
07/19/2024;34.25;81.01M;0.47%
07/18/2024;34.09;59.86M;0.06%
07/17/2024;34.07;57.80M;0.83%
07/16/2024;33.79;45.58M;0.03%
07/15/2024;33.78;47.46M;-0.65%
7/12/2024;34;94.49M;3.34%
7/11/2024;32.9;73.24M;-5.13%
7/10/2024;34.68;72.63M;0.61%
7/9/2024;34.47;62.10M;1.41%
7/8/2024;33.99;54.57M;0.32%
7/5/2024;33.88;96.78M;-2.39%
7/4/2024;34.71;69.69M;0.73%
7/3/2024;34.46;69.14M;-1.77%
7/2/2024;35.08;86.88M;2.10%
7/1/2024;34.36;47.22M;0.50%
06/28/2024;34.19;52.57M;-0.20%
06/27/2024;34.26;55.52M;0.59%
06/26/2024;34.06;45.26M;-0.70%
06/25/2024;34.3;63.82M;0.68%
06/24/2024;34.07;69.26M;1.10%
06/21/2024;33.7;52.40M;-0.91%
06/20/2024;34.01;39.25M;-0.41%
06/19/2024;34.15;58.59M;1.31%
06/18/2024;33.71;45.37M;-0.06%
06/17/2024;33.73;45.77M;-0.24%
06/14/2024;33.81;99.17M;3.02%
06/13/2024;32.82;55.02M;-0.82%
6/12/2024;33.09;51.14M;-0.81%
6/11/2024;33.36;69.04M;-1.85%
6/7/2024;33.99;67.83M;-0.03%
6/6/2024;34;67.72M;0.03%
6/5/2024;33.99;69.10M;-1.59%
6/4/2024;34.54;53.38M;1.14%
6/3/2024;34.15;60.81M;-0.38%
05/31/2024;34.28;50.89M;-0.17%
05/30/2024;34.34;55.92M;-0.67%
05/29/2024;34.57;49.10M;-0.75%
05/28/2024;34.83;47.62M;-0.88%
05/27/2024;35.14;57.09M;1.15%
05/24/2024;34.74;87.04M;-2.14%
05/23/2024;35.5;92.46M;-1.55%
05/22/2024;36.06;66.45M;-0.50%
05/21/2024;36.24;44.60M;-0.38%
05/20/2024;36.38;91.43M;-1.28%
05/17/2024;36.85;91.69M;1.66%
05/16/2024;36.25;129.15M;3.42%
05/15/2024;35.05;67.49M;-0.82%
05/14/2024;35.34;68.78M;-1.59%
05/13/2024;35.91;74.78M;0.81%
5/10/2024;35.62;94.04M;2.24%
5/9/2024;34.84;51.24M;0.78%
5/8/2024;34.57;41.29M;-0.86%
5/7/2024;34.87;47.38M;-0.03%
5/6/2024;34.88;100.07M;1.66%
04/30/2024;34.31;86.80M;-1.63%
04/29/2024;34.88;81.81M;1.16%
04/26/2024;34.48;95.49M;0.23%
04/25/2024;34.4;91.95M;2.81%
04/24/2024;33.46;44.34M;0.24%
04/23/2024;33.38;51.25M;0.12%
04/22/2024;33.34;60.75M;-0.83%
04/19/2024;33.62;54.04M;-0.09%
04/18/2024;33.65;100.66M;1.05%
04/17/2024;33.3;94.82M;1.68%
04/16/2024;32.75;74.16M;-0.24%
04/15/2024;32.83;76.46M;2.21%
4/12/2024;32.12;47.82M;-0.56%
4/11/2024;32.3;44.37M;-0.58%
4/10/2024;32.49;50.40M;0.56%
4/9/2024;32.31;38.48M;-0.28%
4/8/2024;32.4;47.73M;0.53%
4/3/2024;32.23;49.81M;-0.98%
4/2/2024;32.55;53.66M;-0.28%
4/1/2024;32.64;57.02M;1.37%
03/29/2024;32.2;51.40M;0.06%
03/28/2024;32.18;69.47M;-0.37%
03/27/2024;32.3;78.21M;-0.31%
03/26/2024;32.4;124.43M;3.35%
03/25/2024;31.35;48.38M;0.48%
03/22/2024;31.2;55.29M;-1.11%
03/21/2024;31.55;64.68M;1.19%
03/20/2024;31.18;49.83M;1.23%
03/19/2024;30.8;54.70M;-1.06%
03/18/2024;31.13;46.19M;-0.16%
03/15/2024;31.18;52.08M;-0.22%
03/14/2024;31.25;50.82M;-0.86%
03/13/2024;31.52;46.94M;-1.35%
3/12/2024;31.95;76.93M;1.49%
3/11/2024;31.48;73.85M;-0.60%
3/8/2024;31.67;44.11M;-1.03%
3/7/2024;32;51.95M;0.41%
3/6/2024;31.87;51.61M;-0.96%
3/5/2024;32.18;89.40M;2.09%
3/4/2024;31.52;59.14M;-1.31%
3/1/2024;31.94;42.72M;-0.31%
02/29/2024;32.04;49.89M;0.06%
02/28/2024;32.02;68.37M;-0.50%
02/27/2024;32.18;54.35M;-0.22%
02/26/2024;32.25;66.64M;-2.12%
02/23/2024;32.95;63.98M;0.46%
02/22/2024;32.8;75.28M;-0.61%
02/21/2024;33;152.87M;5.10%
02/20/2024;31.4;60.64M;-0.70%
02/19/2024;31.62;87.55M;0.70%
2/8/2024;31.4;87.30M;0.29%
2/7/2024;31.31;111.05M;-0.06%
2/6/2024;31.33;106.22M;2.02%
2/5/2024;30.71;106.40M;1.59%
2/2/2024;30.23;98.73M;-0.62%
2/1/2024;30.42;85.97M;-0.94%
01/31/2024;30.71;80.89M;-0.94%
01/30/2024;31;74.40M;-1.12%
01/29/2024;31.35;83.88M;0.74%
01/26/2024;31.12;100.99M;0.71%
01/25/2024;30.9;123.45M;2.69%
01/24/2024;30.09;97.49M;0.33%
01/23/2024;29.99;88.61M;-0.86%
01/22/2024;30.25;154.97M;1.75%
01/19/2024;29.73;96.86M;0.51%
01/18/2024;29.58;129.51M;1.34%
01/17/2024;29.19;130.86M;0.21%
01/16/2024;29.13;85.34M;1.25%
01/15/2024;28.77;48.25M;0.81%
1/12/2024;28.54;57.78M;0.56%
1/11/2024;28.38;73.53M;1.18%
1/10/2024;28.05;45.36M;-0.43%
1/9/2024;28.17;55.87M;0.14%
1/8/2024;28.13;81.68M;-0.57%
1/5/2024;28.29;119.06M;1.73%
1/4/2024;27.81;63.71M;0.14%
1/3/2024;27.77;43.40M;0.69%
1/2/2024;27.58;54.22M;-0.86%
12/29/2023;27.82;65.58M;-0.61%
12/28/2023;27.99;106.11M;2.53%
12/27/2023;27.3;41.06M;0.11%
12/26/2023;27.27;36.53M;-0.94%
12/25/2023;27.53;41.90M;-0.29%
12/22/2023;27.61;62.36M;-0.36%
12/21/2023;27.71;75.91M;2.40%
12/20/2023;27.06;53.11M;-0.84%
12/19/2023;27.29;37.66M;0.04%
12/18/2023;27.28;47.72M;0.18%
12/15/2023;27.23;98.07M;0.74%
12/14/2023;27.03;44.53M;-0.70%
12/13/2023;27.22;67.12M;-2.96%
12/12/2023;28.05;50.42M;1.04%
12/11/2023;27.76;75.81M;0.95%
12/8/2023;27.5;53.35M;-1.11%
12/7/2023;27.81;59.50M;0.18%
12/6/2023;27.76;61.13M;0.91%
12/5/2023;27.51;61.89M;-2.03%
12/4/2023;28.08;55.79M;-0.64%
12/1/2023;28.26;88.27M;-1.84%
11/30/2023;28.79;55.16M;-0.03%
11/29/2023;28.8;62.06M;-1.23%
11/28/2023;29.16;47.52M;-0.82%
11/27/2023;29.4;58.10M;-2.00%
11/24/2023;30;29.12M;-0.46%
11/23/2023;30.14;29.98M;-0.07%
11/22/2023;30.16;27.37M;-0.89%
11/21/2023;30.43;48.85M;-0.49%
11/20/2023;30.58;36.92M;0.82%
11/17/2023;30.33;43.25M;-0.69%
11/16/2023;30.54;31.57M;-0.33%
11/15/2023;30.64;60.19M;1.46%
11/14/2023;30.2;44.83M;1.27%
11/13/2023;29.82;63.42M;-1.13%
11/10/2023;30.16;51.70M;-1.63%
11/9/2023;30.66;32.77M;0.20%
11/8/2023;30.6;44.52M;-0.65%
11/7/2023;30.8;51.62M;-1.09%
11/6/2023;31.14;51.98M;0.48%
11/3/2023;30.99;43.96M;1.01%
11/2/2023;30.68;36.47M;0.76%
11/1/2023;30.45;52.99M;-1.01%
10/31/2023;30.76;52.80M;-0.45%
10/30/2023;30.9;83.85M;-2.00%
10/27/2023;31.53;39.15M;0.10%
10/26/2023;31.5;28.70M;0.25%
10/25/2023;31.42;37.57M;0.38%
10/24/2023;31.3;36.55M;0.22%
10/23/2023;31.23;39.38M;-1.33%
10/20/2023;31.65;37.26M;0.25%
10/19/2023;31.57;60.43M;-2.83%
10/18/2023;32.49;24.93M;-0.09%
10/17/2023;32.52;28.62M;0.65%
10/16/2023;32.31;28.68M;-0.92%
10/13/2023;32.61;41.04M;-1.39%
10/12/2023;33.07;61.75M;1.91%
10/11/2023;32.45;37.61M;-0.43%
10/10/2023;32.59;34.26M;0.03%
10/9/2023;32.58;36.13M;-1.18%
09/28/2023;32.97;38.86M;0.46%
09/27/2023;32.82;35.25M;0.06%
09/26/2023;32.8;32.20M;-0.61%
09/25/2023;33;45.65M;-1.02%
09/22/2023;33.34;71.28M;3.00%
09/21/2023;32.37;39.03M;-1.10%
09/20/2023;32.73;30.93M;-0.70%
09/19/2023;32.96;38.47M;-0.18%
09/18/2023;33.02;36.04M;0.18%
09/15/2023;32.96;43.96M;-0.33%
09/14/2023;33.07;43.73M;0.98%
09/13/2023;32.75;29.89M;-0.40%
9/12/2023;32.88;27.76M;-0.09%
9/11/2023;32.91;63.29M;-0.78%
9/8/2023;33.17;29.85M;0.09%
9/7/2023;33.14;35.87M;-0.66%
9/6/2023;33.36;54.67M;0.76%
9/5/2023;33.11;44.73M;-1.25%
9/4/2023;33.53;110.43M;3.90%
9/1/2023;32.27;69.75M;2.28%
08/31/2023;31.55;50.32M;-0.35%
08/30/2023;31.66;63.98M;-1.19%
08/29/2023;32.04;72.12M;-0.68%
08/28/2023;32.26;140.51M;2.22%
08/25/2023;31.56;64.75M;1.61%
08/24/2023;31.06;41.23M;0.68%
08/23/2023;30.85;56.07M;-1.50%
08/22/2023;31.32;60.11M;0.61%
08/21/2023;31.13;80.96M;-2.35%
08/18/2023;31.88;67.46M;0.28%
08/17/2023;31.79;64.61M;-0.56%
08/16/2023;31.97;58.02M;-1.21%
08/15/2023;32.36;58.30M;-0.31%
08/14/2023;32.46;66.71M;-2.08%
8/11/2023;33.15;60.62M;-2.90%
8/10/2023;34.14;28.77M;0.35%
8/9/2023;34.02;38.68M;-0.38%
8/8/2023;34.15;50.23M;-1.01%
8/7/2023;34.5;34.47M;-1.09%
8/4/2023;34.88;81.26M;0.58%
8/3/2023;34.68;50.93M;1.91%
8/2/2023;34.03;91.54M;-2.74%
8/1/2023;34.99;66.01M;-1.60%
07/31/2023;35.56;116.28M;1.31%
07/28/2023;35.1;125.63M;4.28%
07/27/2023;33.66;54.85M;0.93%
07/26/2023;33.35;50.18M;0.24%
07/25/2023;33.27;126.16M;5.79%
07/24/2023;31.45;23.91M;-1.10%
07/21/2023;31.8;31.57M;0.35%
07/20/2023;31.69;27.24M;0.35%
07/19/2023;31.58;24.03M;0.38%
07/18/2023;31.46;31.64M;-0.60%
07/17/2023;31.65;26.20M;-0.88%
07/14/2023;31.93;34.75M;0.25%
07/13/2023;31.85;56.39M;-4.07%
7/12/2023;33.2;63.20M;1.50%
7/11/2023;32.71;32.92M;0.80%
7/10/2023;32.45;27.21M;0.43%
7/7/2023;32.31;47.28M;-0.83%
7/6/2023;32.58;40.78M;-1.36%
7/5/2023;33.03;41.31M;-1.43%
7/4/2023;33.51;22.41M;-0.62%
7/3/2023;33.72;45.37M;2.93%
06/30/2023;32.76;29.36M;0.24%
06/29/2023;32.68;25.85M;-1.12%
06/28/2023;33.05;33.38M;0.70%
06/27/2023;32.82;34.57M;0.64%
06/26/2023;32.61;43.21M;-1.69%
06/21/2023;33.17;42.79M;-0.06%
06/20/2023;33.19;30.76M;-1.16%
06/19/2023;33.58;27.90M;-1.03%
06/16/2023;33.93;42.68M;0.62%
06/15/2023;33.72;36.95M;0.99%
06/14/2023;33.39;38.26M;-1.01%
06/13/2023;33.73;23.12M;0.00%
6/12/2023;33.73;40.68M;-0.03%
6/9/2023;33.74;41.51M;-1.00%
6/8/2023;34.08;54.96M;2.34%
6/7/2023;33.3;33.89M;0.70%
6/6/2023;33.07;38.66M;0.09%
6/5/2023;33.04;31.27M;-0.09%
6/2/2023;33.07;55.89M;3.15%
6/1/2023;32.06;47.24M;-0.74%
05/31/2023;32.3;52.54M;-1.04%
05/30/2023;32.64;34.01M;-0.15%
05/29/2023;32.69;38.73M;-0.15%
05/26/2023;32.74;29.46M;0.99%
05/25/2023;32.42;70.61M;-1.55%
05/24/2023;32.93;46.40M;-1.99%
05/23/2023;33.6;34.69M;-1.75%
05/22/2023;34.2;29.69M;0.74%
05/19/2023;33.95;39.30M;-1.45%
05/18/2023;34.45;32.90M;-0.14%
05/17/2023;34.5;39.64M;-0.92%
05/16/2023;34.82;38.52M;0.35%
05/15/2023;34.7;52.81M;1.94%
5/12/2023;34.04;45.94M;-1.19%
5/11/2023;34.45;44.58M;0.15%
5/10/2023;34.4;63.84M;-1.69%
5/9/2023;34.99;98.55M;-1.71%
5/8/2023;35.6;106.43M;2.62%
5/5/2023;34.69;80.09M;1.64%
5/4/2023;34.13;72.54M;1.58%
04/28/2023;33.6;94.02M;2.97%
04/27/2023;32.63;155.93M;-3.52%
04/26/2023;33.82;49.65M;-0.62%
04/25/2023;34.03;51.22M;1.28%
