Date;Price;Vol.;Change %
04/24/2023;33.6;72.99M;-2.61%
04/21/2023;34.5;53.16M;-1.40%
04/20/2023;34.99;68.09M;-1.44%
04/19/2023;35.5;51.09M;-0.50%
04/18/2023;35.68;94.27M;1.36%
04/17/2023;35.2;89.37M;2.36%
04/14/2023;34.39;69.39M;1.12%
04/13/2023;34.01;63.43M;0.80%
4/12/2023;33.74;41.61M;0.03%
4/11/2023;33.73;73.40M;-1.49%
4/10/2023;34.24;33.02M;0.29%
4/7/2023;34.14;39.41M;1.01%
4/6/2023;33.8;48.68M;-1.40%
4/4/2023;34.28;48.78M;-0.26%
4/3/2023;34.37;50.47M;0.29%
03/31/2023;34.27;57.78M;-0.23%
03/30/2023;34.35;56.23M;0.67%
03/29/2023;34.12;41.86M;-0.81%
03/28/2023;34.4;53.32M;0.56%
03/27/2023;34.21;44.98M;-0.64%
03/24/2023;34.43;67.87M;-2.19%
03/23/2023;35.2;54.21M;1.91%
03/22/2023;34.54;45.99M;0.91%
03/21/2023;34.23;36.75M;0.32%
03/20/2023;34.12;52.07M;-0.70%
03/17/2023;34.36;83.27M;-0.84%
03/16/2023;34.65;40.39M;-0.66%
03/15/2023;34.88;67.64M;0.87%
03/14/2023;34.58;62.67M;-1.34%
03/13/2023;35.05;58.42M;0.06%
3/10/2023;35.03;55.85M;-1.55%
3/9/2023;35.58;54.00M;-1.17%
3/8/2023;36;61.66M;-1.53%
3/7/2023;36.56;73.74M;-1.19%
3/6/2023;37;81.05M;-3.27%
3/3/2023;38.25;35.71M;0.00%
3/2/2023;38.25;34.91M;0.00%
3/1/2023;38.25;57.12M;2.52%
02/28/2023;37.31;37.82M;0.40%
02/27/2023;37.16;44.93M;-0.80%
02/24/2023;37.46;53.37M;-2.12%
02/23/2023;38.27;37.06M;0.29%
02/22/2023;38.16;38.31M;-1.37%
02/21/2023;38.69;53.05M;0.52%
02/20/2023;38.49;108.02M;4.85%
02/17/2023;36.71;57.58M;-1.50%
02/16/2023;37.27;65.42M;0.27%
02/15/2023;37.17;77.10M;-2.18%
02/14/2023;38;48.61M;0.74%
02/13/2023;37.72;82.52M;-1.15%
2/10/2023;38.16;41.10M;-0.86%
2/9/2023;38.49;49.82M;0.00%
2/8/2023;38.49;31.71M;0.21%
2/7/2023;38.41;42.66M;0.16%
2/6/2023;38.35;73.10M;-2.42%
2/3/2023;39.3;63.82M;-1.82%
2/2/2023;40.03;72.72M;-1.26%
2/1/2023;40.54;91.68M;-1.63%
01/31/2023;41.21;64.23M;-1.95%
01/30/2023;42.03;100.70M;2.39%
01/20/2023;41.05;41.34M;0.98%
01/19/2023;40.65;47.25M;0.67%
01/18/2023;40.38;29.47M;-0.74%
01/17/2023;40.68;43.20M;0.52%
01/16/2023;40.47;88.05M;2.04%
01/13/2023;39.66;46.38M;1.56%
1/12/2023;39.05;30.43M;0.33%
1/11/2023;38.92;54.17M;1.75%
1/10/2023;38.25;54.20M;-1.42%
1/9/2023;38.8;49.91M;1.09%
1/6/2023;38.38;59.00M;-0.31%
1/5/2023;38.5;61.91M;-0.39%
1/4/2023;38.65;83.65M;2.85%
1/3/2023;37.58;60.63M;0.86%
12/30/2022;37.26;52.32M;0.08%
12/29/2022;37.23;51.36M;-0.27%
12/28/2022;37.33;52.89M;1.80%
12/27/2022;36.67;36.79M;2.00%
12/26/2022;35.95;36.05M;-1.15%
12/23/2022;36.37;33.06M;-0.36%
12/22/2022;36.5;35.97M;1.53%
12/21/2022;35.95;33.05M;0.64%
12/20/2022;35.72;70.29M;-2.14%
12/19/2022;36.5;54.78M;-1.59%
12/16/2022;37.09;60.78M;2.09%
12/15/2022;36.33;40.34M;-1.57%
12/14/2022;36.91;64.44M;2.13%
12/13/2022;36.14;38.29M;0.98%
12/12/2022;35.79;60.63M;-2.61%
12/9/2022;36.75;95.82M;3.67%
12/8/2022;35.45;44.36M;0.37%
12/7/2022;35.32;56.46M;-1.48%
12/6/2022;35.85;65.11M;-0.69%
12/5/2022;36.1;105.06M;4.97%
12/2/2022;34.39;59.85M;-1.74%
12/1/2022;35;83.14M;0.11%
11/30/2022;34.96;87.33M;0.29%
11/29/2022;34.86;175.32M;9.07%
11/28/2022;31.96;80.94M;-3.21%
11/25/2022;33.02;83.01M;2.48%
11/24/2022;32.22;40.63M;0.00%
11/23/2022;32.22;57.76M;-0.71%
11/22/2022;32.45;65.42M;1.82%
11/21/2022;31.87;47.91M;-0.62%
11/18/2022;32.07;56.27M;-0.74%
11/17/2022;32.31;103.72M;-3.21%
11/16/2022;33.38;61.46M;0.30%
11/15/2022;33.28;91.33M;0.42%
11/14/2022;33.14;204.97M;6.08%
11/11/2022;31.24;168.87M;7.02%
11/10/2022;29.19;40.00M;0.03%
11/9/2022;29.18;46.31M;0.10%
11/8/2022;29.15;43.98M;-0.03%
11/7/2022;29.16;54.54M;0.28%
11/4/2022;29.08;92.68M;3.67%
11/3/2022;28.05;50.17M;-1.30%
11/2/2022;28.42;72.84M;0.82%
11/1/2022;28.19;105.90M;5.11%
10/31/2022;26.82;95.30M;-1.32%
10/28/2022;27.18;94.95M;-2.72%
10/27/2022;27.94;76.29M;0.04%
10/26/2022;27.93;75.40M;-0.92%
10/25/2022;28.19;86.03M;0.61%
10/24/2022;28.02;145.15M;-5.27%
10/21/2022;29.58;72.87M;-1.63%
10/20/2022;30.07;55.12M;-0.63%
10/19/2022;30.26;52.83M;-1.75%
10/18/2022;30.8;56.28M;-0.71%
10/17/2022;31.02;64.63M;-0.19%
10/14/2022;31.08;126.92M;3.98%
10/13/2022;29.89;135.04M;-3.42%
10/12/2022;30.95;117.37M;-1.43%
10/11/2022;31.4;61.87M;-1.26%
10/10/2022;31.8;127.80M;-5.50%
09/30/2022;33.65;53.97M;1.51%
09/29/2022;33.15;61.79M;-1.54%
09/28/2022;33.67;48.73M;-0.68%
09/27/2022;33.9;47.54M;-0.15%
09/26/2022;33.95;52.55M;-1.19%
09/23/2022;34.36;36.64M;0.56%
09/22/2022;34.17;38.51M;-0.70%
09/21/2022;34.41;53.04M;-0.38%
09/20/2022;34.54;50.43M;-1.57%
09/19/2022;35.09;45.00M;0.40%
09/16/2022;34.95;86.52M;-2.94%
09/15/2022;36.01;134.10M;3.30%
09/14/2022;34.86;56.08M;-1.39%
09/13/2022;35.35;143.86M;2.46%
9/9/2022;34.5;135.17M;3.60%
9/8/2022;33.3;41.67M;-0.24%
9/7/2022;33.38;62.52M;-0.71%
9/6/2022;33.62;87.76M;-1.78%
9/5/2022;34.23;46.74M;-0.26%
9/2/2022;34.32;47.66M;-0.52%
9/1/2022;34.5;60.74M;-1.57%
08/31/2022;35.05;166.55M;3.73%
08/30/2022;33.79;59.09M;1.53%
08/29/2022;33.28;38.90M;-1.25%
08/26/2022;33.7;54.97M;0.03%
08/25/2022;33.69;65.07M;2.59%
08/24/2022;32.84;58.97M;-0.79%
08/23/2022;33.1;53.97M;-1.55%
08/22/2022;33.62;52.56M;-0.68%
08/19/2022;33.85;42.84M;0.39%
08/18/2022;33.72;50.73M;-1.52%
08/17/2022;34.24;45.40M;0.97%
08/16/2022;33.91;47.92M;0.53%
08/15/2022;33.73;45.92M;-1.86%
8/12/2022;34.37;40.20M;0.03%
8/11/2022;34.36;82.67M;3.65%
8/10/2022;33.15;52.96M;-1.34%
8/9/2022;33.6;49.87M;-0.91%
8/8/2022;33.91;57.21M;-1.14%
8/5/2022;34.3;48.87M;1.90%
8/4/2022;33.66;59.31M;1.81%
8/3/2022;33.06;100.32M;-2.51%
8/2/2022;33.91;81.16M;-1.77%
8/1/2022;34.52;70.59M;-1.57%
07/29/2022;35.07;64.97M;-1.98%
07/28/2022;35.78;57.07M;-0.75%
07/27/2022;36.05;44.25M;-0.77%
07/26/2022;36.33;45.63M;1.34%
07/25/2022;35.85;40.46M;0.73%
07/22/2022;35.59;51.03M;0.37%
07/21/2022;35.46;46.62M;-1.09%
07/20/2022;35.85;46.97M;0.39%
07/19/2022;35.71;53.78M;0.22%
07/18/2022;35.63;90.31M;2.18%
07/15/2022;34.87;138.25M;-4.41%
07/14/2022;36.48;232.52M;-3.75%
07/13/2022;37.9;141.08M;-3.56%
7/12/2022;39.3;58.06M;-0.35%
7/11/2022;39.44;40.38M;-0.93%
7/8/2022;39.81;48.04M;0.15%
7/7/2022;39.75;50.81M;-0.13%
7/6/2022;39.8;88.53M;-2.88%
7/5/2022;40.98;53.45M;-0.17%
7/4/2022;41.05;48.69M;-0.80%
7/1/2022;41.38;69.57M;-1.94%
06/30/2022;42.2;83.26M;2.90%
06/29/2022;41.01;62.28M;-0.65%
06/28/2022;41.28;49.92M;0.07%
06/27/2022;41.25;89.34M;2.61%
06/24/2022;40.2;64.00M;0.15%
06/23/2022;40.14;61.60M;2.11%
06/22/2022;39.31;73.07M;-2.53%
06/21/2022;40.33;58.39M;1.59%
06/20/2022;39.7;61.42M;-0.38%
06/17/2022;39.85;55.07M;-0.28%
06/16/2022;39.96;63.69M;-1.28%
06/15/2022;40.48;139.49M;3.16%
06/14/2022;39.24;59.84M;1.74%
06/13/2022;38.57;97.13M;-3.86%
6/10/2022;40.12;79.54M;-0.42%
6/9/2022;40.29;90.86M;1.92%
6/8/2022;39.53;59.69M;0.46%
6/7/2022;39.35;62.27M;0.98%
6/6/2022;38.97;69.87M;0.13%
6/2/2022;38.92;54.73M;-1.94%
6/1/2022;39.69;43.38M;0.00%
05/31/2022;39.69;64.54M;1.59%
05/30/2022;39.07;47.15M;-0.13%
05/27/2022;39.12;60.84M;1.80%
05/26/2022;38.43;61.54M;-0.90%
05/25/2022;38.78;48.90M;-0.31%
05/24/2022;38.9;68.74M;-1.49%
05/23/2022;39.49;61.81M;-1.18%
05/20/2022;39.96;133.89M;5.07%
05/19/2022;38.03;54.20M;-1.22%
05/18/2022;38.5;88.78M;-0.26%
05/17/2022;38.6;118.40M;4.64%
05/16/2022;36.89;64.47M;-0.70%
05/13/2022;37.15;70.13M;1.48%
5/12/2022;36.61;63.00M;-1.61%
5/11/2022;37.21;87.24M;0.62%
5/10/2022;36.98;121.76M;1.40%
5/9/2022;36.47;125.24M;-3.80%
5/6/2022;37.91;88.95M;-3.44%
5/5/2022;39.26;94.43M;-1.68%
04/29/2022;39.93;123.69M;0.78%
