Date;Price;Vol.;Change %
12/31/2024;29.17;198.08M;-4.39%
12/30/2024;30.51;120.67M;0.96%
12/27/2024;30.22;179.26M;0.23%
12/26/2024;30.15;81.14M;0.20%
12/25/2024;30.09;94.09M;-0.76%
12/24/2024;30.32;108.20M;1.34%
12/23/2024;29.92;104.59M;-1.38%
12/20/2024;30.34;97.77M;0.03%
12/19/2024;30.33;92.15M;0.13%
12/18/2024;30.29;69.87M;0.20%
12/17/2024;30.23;119.72M;0.67%
12/16/2024;30.03;126.35M;-1.28%
12/13/2024;30.42;201.32M;-3.92%
12/12/2024;31.66;169.46M;1.02%
12/11/2024;31.34;131.15M;-0.44%
12/10/2024;31.48;306.68M;1.16%
12/9/2024;31.12;125.86M;-0.38%
12/6/2024;31.24;205.42M;1.10%
12/5/2024;30.9;115.89M;0.32%
12/4/2024;30.8;117.88M;-0.90%
12/3/2024;31.08;154.23M;-0.61%
12/2/2024;31.27;193.24M;1.69%
11/29/2024;30.75;293.29M;2.95%
11/28/2024;29.87;128.20M;-1.35%
11/27/2024;30.28;178.30M;1.88%
11/26/2024;29.72;136.52M;0.20%
11/25/2024;29.66;231.81M;-2.21%
11/22/2024;30.33;230.58M;-4.89%
11/21/2024;31.89;190.43M;0.47%
11/20/2024;31.74;217.29M;1.41%
11/19/2024;31.3;219.41M;2.05%
11/18/2024;30.67;245.03M;-1.48%
11/15/2024;31.13;302.26M;-4.71%
11/14/2024;32.67;255.44M;-0.76%
11/13/2024;32.92;364.71M;-2.98%
11/12/2024;33.93;414.56M;-2.72%
11/11/2024;34.88;513.31M;0.00%
11/8/2024;34.88;745.43M;2.02%
11/7/2024;34.19;480.45M;10.01%
11/6/2024;31.08;545.10M;2.00%
11/5/2024;30.47;427.44M;4.85%
11/4/2024;29.06;274.29M;3.97%
11/1/2024;27.95;272.16M;-0.60%
10/31/2024;28.12;409.52M;2.40%
10/30/2024;27.46;194.48M;0.84%
10/29/2024;27.23;186.89M;-0.95%
10/28/2024;27.49;134.57M;-0.04%
10/25/2024;27.5;166.57M;0.81%
10/24/2024;27.28;162.90M;-1.05%
10/23/2024;27.57;279.36M;-0.36%
10/22/2024;27.67;223.80M;0.76%
10/21/2024;27.46;363.40M;-1.61%
10/18/2024;27.91;571.18M;6.69%
10/17/2024;26.16;206.52M;-0.95%
10/16/2024;26.41;259.49M;-1.16%
10/15/2024;26.72;278.10M;-2.69%
10/14/2024;27.46;450.42M;-2.52%
10/11/2024;28.17;486.00M;1.51%
10/10/2024;27.75;774.67M;-8.57%
10/9/2024;30.35;1.35B;1.44%
10/8/2024;29.92;147.52M;10.00%
09/30/2024;27.2;394.92M;9.99%
09/27/2024;24.73;279.94M;10.01%
09/26/2024;22.48;309.32M;6.24%
09/25/2024;21.16;300.73M;1.63%
09/24/2024;20.82;286.92M;7.82%
09/23/2024;19.31;53.65M;0.10%
09/20/2024;19.29;62.92M;-0.26%
09/19/2024;19.34;98.94M;2.11%
09/18/2024;18.94;37.93M;0.11%
09/13/2024;18.92;46.15M;0.21%
9/12/2024;18.88;34.13M;-0.63%
9/11/2024;19;46.04M;0.64%
9/10/2024;18.88;53.07M;-0.53%
9/9/2024;18.98;72.90M;-0.42%
9/6/2024;19.06;117.61M;-0.26%
