Date;Price;Vol.;Change %
12/31/2024;5.34;463.02M;-0.56%
12/30/2024;5.37;420.72M;1.13%
12/27/2024;5.31;513.68M;0.19%
12/26/2024;5.3;430.14M;-0.19%
12/25/2024;5.31;566.56M;1.14%
12/24/2024;5.25;432.90M;1.16%
12/23/2024;5.19;695.99M;2.98%
12/20/2024;5.04;504.80M;0.00%
12/19/2024;5.04;482.17M;-1.18%
12/18/2024;5.1;544.51M;0.00%
12/17/2024;5.1;428.24M;-0.20%
12/16/2024;5.11;566.72M;2.20%
12/13/2024;5;487.57M;-0.60%
12/12/2024;5.03;419.91M;1.21%
12/11/2024;4.97;469.50M;-1.58%
12/10/2024;5.05;622.95M;0.80%
12/9/2024;5.01;505.56M;1.21%
12/6/2024;4.95;510.45M;0.61%
12/5/2024;4.92;277.91M;0.20%
12/4/2024;4.91;380.65M;0.41%
12/3/2024;4.89;467.67M;1.45%
12/2/2024;4.82;354.51M;0.21%
11/29/2024;4.81;428.41M;-0.82%
11/28/2024;4.85;401.48M;0.41%
11/27/2024;4.83;427.26M;0.42%
11/26/2024;4.81;505.54M;1.69%
11/25/2024;4.73;331.07M;0.64%
11/22/2024;4.7;319.27M;-1.47%
11/21/2024;4.77;218.60M;0.00%
11/20/2024;4.77;361.96M;0.42%
11/19/2024;4.75;568.46M;-1.04%
11/18/2024;4.8;705.07M;2.13%
11/15/2024;4.7;513.69M;0.21%
11/14/2024;4.69;451.70M;0.64%
11/13/2024;4.66;336.62M;0.22%
11/12/2024;4.65;452.76M;-0.85%
11/11/2024;4.69;496.01M;-1.47%
11/8/2024;4.76;464.15M;-0.83%
11/7/2024;4.8;441.47M;0.63%
11/6/2024;4.77;323.64M;-0.63%
11/5/2024;4.8;364.24M;0.42%
11/4/2024;4.78;378.41M;0.00%
11/1/2024;4.78;455.43M;1.06%
10/31/2024;4.73;379.58M;0.42%
10/30/2024;4.71;386.78M;-1.67%
10/29/2024;4.79;428.85M;0.63%
10/28/2024;4.76;546.38M;-1.24%
10/25/2024;4.82;382.42M;-1.03%
10/24/2024;4.87;328.28M;0.41%
10/23/2024;4.85;379.05M;-0.21%
10/22/2024;4.86;495.72M;0.41%
10/21/2024;4.84;718.68M;-2.42%
10/18/2024;4.96;699.46M;-0.40%
10/17/2024;4.98;423.09M;-0.80%
10/16/2024;5.02;558.95M;2.03%
10/15/2024;4.92;597.25M;-2.19%
10/14/2024;5.03;956.93M;4.14%
10/11/2024;4.83;726.59M;0.21%
10/10/2024;4.82;1.08B;3.21%
10/9/2024;4.67;1.04B;-1.89%
10/8/2024;4.76;1.65B;-0.83%
09/30/2024;4.8;1.77B;2.13%
09/27/2024;4.7;825.88M;-3.89%
09/26/2024;4.89;547.07M;1.03%
09/25/2024;4.84;610.85M;0.83%
09/24/2024;4.8;596.15M;3.90%
09/23/2024;4.62;314.07M;1.76%
09/20/2024;4.54;432.60M;0.89%
09/19/2024;4.5;385.25M;0.00%
09/18/2024;4.5;283.11M;1.35%
09/13/2024;4.44;332.61M;-0.89%
9/12/2024;4.48;366.43M;0.45%
9/11/2024;4.46;458.31M;-3.04%
9/10/2024;4.6;391.29M;1.77%
9/9/2024;4.52;352.39M;0.22%
9/6/2024;4.51;282.34M;0.22%
9/5/2024;4.5;345.65M;-0.44%
9/4/2024;4.52;492.98M;0.89%
9/3/2024;4.48;700.50M;-4.48%
9/2/2024;4.69;683.28M;3.76%
08/30/2024;4.52;888.81M;-4.03%
08/29/2024;4.71;646.86M;-4.66%
08/28/2024;4.94;357.09M;-0.80%
08/27/2024;4.98;381.70M;1.22%
08/26/2024;4.92;273.40M;0.00%
08/23/2024;4.92;345.37M;0.20%
08/22/2024;4.91;402.34M;0.82%
08/21/2024;4.87;391.08M;-1.02%
08/20/2024;4.92;415.83M;0.61%
08/19/2024;4.89;416.48M;2.73%
08/16/2024;4.76;373.23M;1.71%
08/15/2024;4.68;279.75M;0.43%
08/14/2024;4.66;220.05M;0.00%
08/13/2024;4.66;293.07M;0.43%
8/12/2024;4.64;261.86M;0.65%
8/9/2024;4.61;238.62M;0.88%
8/8/2024;4.57;193.21M;0.44%
8/7/2024;4.55;257.20M;-0.44%
8/6/2024;4.57;356.76M;-1.30%
8/5/2024;4.63;411.76M;-0.43%
8/2/2024;4.65;320.37M;0.43%
8/1/2024;4.63;432.39M;0.87%
07/31/2024;4.59;515.49M;-2.34%
07/30/2024;4.7;290.69M;0.00%
07/29/2024;4.7;387.86M;1.73%
07/26/2024;4.62;487.75M;-2.12%
07/25/2024;4.72;424.94M;-1.05%
07/24/2024;4.77;447.23M;0.63%
