Date;Price;Vol.;Change %
07/23/2024;4.74;488.91M;2.16%
07/22/2024;4.64;457.14M;-1.49%
07/19/2024;4.71;408.77M;-0.21%
07/18/2024;4.72;294.75M;0.00%
07/17/2024;4.72;277.36M;0.21%
07/16/2024;4.71;358.26M;-0.21%
07/15/2024;4.72;405.40M;2.61%
7/12/2024;4.6;375.59M;2.00%
7/11/2024;4.51;300.37M;-0.88%
7/10/2024;4.55;274.99M;0.44%
7/9/2024;4.53;375.29M;0.67%
7/8/2024;4.5;319.52M;0.90%
7/5/2024;4.46;420.34M;-1.55%
7/4/2024;4.53;294.53M;0.89%
7/3/2024;4.49;346.36M;-0.66%
7/2/2024;4.52;409.83M;1.80%
7/1/2024;4.44;347.49M;1.83%
06/28/2024;4.36;372.78M;0.93%
06/27/2024;4.32;390.08M;0.93%
06/26/2024;4.28;291.57M;0.47%
06/25/2024;4.26;331.25M;0.24%
06/24/2024;4.25;368.52M;1.43%
06/21/2024;4.19;340.74M;-1.18%
06/20/2024;4.24;253.00M;0.47%
06/19/2024;4.22;295.42M;0.96%
06/18/2024;4.18;308.59M;0.24%
06/17/2024;4.17;423.52M;-1.88%
06/14/2024;4.25;363.10M;0.71%
06/13/2024;4.22;367.85M;1.44%
6/12/2024;4.16;410.31M;-0.24%
6/11/2024;4.17;532.84M;-2.11%
6/7/2024;4.26;498.97M;-3.84%
6/6/2024;4.43;399.86M;-0.23%
6/5/2024;4.44;331.08M;0.68%
6/4/2024;4.41;245.78M;0.00%
6/3/2024;4.41;320.12M;0.46%
05/31/2024;4.39;216.69M;0.00%
05/30/2024;4.39;326.98M;-0.90%
05/29/2024;4.43;330.72M;-0.67%
05/28/2024;4.46;252.31M;0.22%
05/27/2024;4.45;391.17M;1.37%
05/24/2024;4.39;269.54M;-0.23%
05/23/2024;4.4;269.65M;-0.45%
05/22/2024;4.42;268.46M;0.23%
05/21/2024;4.41;305.28M;0.92%
05/20/2024;4.37;379.05M;-0.23%
05/17/2024;4.38;294.00M;0.69%
05/16/2024;4.35;273.66M;0.23%
05/15/2024;4.34;171.01M;0.00%
05/14/2024;4.34;262.96M;-0.91%
05/13/2024;4.38;302.89M;0.23%
5/10/2024;4.37;291.75M;-0.23%
5/9/2024;4.38;390.41M;-1.13%
5/8/2024;4.43;388.24M;1.14%
5/7/2024;4.38;418.32M;0.69%
5/6/2024;4.35;452.44M;-1.14%
04/30/2024;4.4;319.00M;-0.23%
04/29/2024;4.41;421.88M;-0.90%
04/26/2024;4.45;535.17M;-2.20%
04/25/2024;4.55;305.93M;1.34%
04/24/2024;4.49;279.72M;-0.22%
04/23/2024;4.5;339.84M;0.00%
04/22/2024;4.5;399.07M;-0.88%
04/19/2024;4.54;303.08M;1.11%
04/18/2024;4.49;498.90M;0.67%
04/17/2024;4.46;429.79M;0.68%
04/16/2024;4.43;500.28M;1.37%
04/15/2024;4.37;404.91M;2.10%
4/12/2024;4.28;296.03M;0.23%
4/11/2024;4.27;258.49M;-0.47%
4/10/2024;4.29;285.64M;0.23%
4/9/2024;4.28;390.82M;-1.38%
4/8/2024;4.34;349.93M;1.17%
4/3/2024;4.29;242.02M;0.47%
4/2/2024;4.27;372.70M;0.95%
4/1/2024;4.23;253.84M;0.00%
03/29/2024;4.23;363.16M;1.44%
03/28/2024;4.17;506.52M;-2.57%
03/27/2024;4.28;389.93M;1.18%
03/26/2024;4.23;366.55M;0.48%
03/25/2024;4.21;370.16M;0.72%
03/22/2024;4.18;331.09M;0.97%
03/21/2024;4.14;289.83M;0.24%
03/20/2024;4.13;304.60M;0.98%
03/19/2024;4.09;382.81M;-0.97%
03/18/2024;4.13;296.07M;-0.72%
03/15/2024;4.16;303.80M;0.00%
03/14/2024;4.16;241.84M;0.97%
03/13/2024;4.12;283.31M;-0.48%
3/12/2024;4.14;472.81M;-2.36%
3/11/2024;4.24;374.21M;-0.70%
3/8/2024;4.27;335.74M;-0.23%
3/7/2024;4.28;327.33M;0.47%
3/6/2024;4.26;425.78M;-1.84%
3/5/2024;4.34;432.53M;2.36%
3/4/2024;4.24;359.84M;0.00%
3/1/2024;4.24;367.47M;1.19%
02/29/2024;4.19;295.70M;0.72%
02/28/2024;4.16;390.34M;0.00%
02/27/2024;4.16;310.70M;0.48%
02/26/2024;4.14;427.08M;-2.82%
02/23/2024;4.26;369.43M;1.43%
02/22/2024;4.2;290.88M;0.48%
02/21/2024;4.18;432.91M;0.72%
02/20/2024;4.15;397.12M;1.72%
02/19/2024;4.08;572.99M;3.03%
2/8/2024;3.96;495.68M;-1.49%
2/7/2024;4.02;748.71M;-1.71%
2/6/2024;4.09;687.82M;1.74%
2/5/2024;4.02;661.85M;2.03%
2/2/2024;3.94;557.63M;1.29%
2/1/2024;3.89;328.05M;0.00%
01/31/2024;3.89;380.67M;0.26%
01/30/2024;3.88;354.30M;-0.77%
01/29/2024;3.91;450.68M;1.30%
01/26/2024;3.86;476.10M;1.58%
01/25/2024;3.8;449.13M;1.33%
01/24/2024;3.75;490.30M;1.90%
01/23/2024;3.68;401.47M;0.00%
01/22/2024;3.68;544.07M;0.00%
01/19/2024;3.68;405.93M;-0.27%
01/18/2024;3.69;745.69M;-0.27%
01/17/2024;3.7;333.37M;-1.07%
01/16/2024;3.74;344.93M;0.81%
01/15/2024;3.71;223.63M;0.27%
1/12/2024;3.7;329.58M;1.37%
1/11/2024;3.65;375.41M;-1.62%
1/10/2024;3.71;259.58M;-0.27%
1/9/2024;3.72;383.73M;0.00%
1/8/2024;3.72;393.25M;-0.27%
1/5/2024;3.73;492.79M;-1.06%
1/4/2024;3.77;388.62M;1.34%
1/3/2024;3.72;478.48M;1.64%
1/2/2024;3.66;347.91M;0.55%
12/29/2023;3.64;323.72M;0.28%
12/28/2023;3.63;565.54M;-1.63%
12/27/2023;3.69;341.09M;0.54%
12/26/2023;3.67;230.75M;0.27%
12/25/2023;3.66;209.27M;0.83%
12/22/2023;3.63;285.18M;0.55%
12/21/2023;3.61;322.12M;-0.55%
12/20/2023;3.63;303.76M;-0.27%
12/19/2023;3.64;262.12M;0.55%
12/18/2023;3.62;308.68M;1.12%
12/15/2023;3.58;266.20M;-1.10%
12/14/2023;3.62;216.06M;0.00%
12/13/2023;3.62;306.98M;0.00%
12/12/2023;3.62;411.89M;1.97%
12/11/2023;3.55;396.48M;-0.56%
12/8/2023;3.57;315.60M;0.28%
12/7/2023;3.56;353.01M;0.85%
12/6/2023;3.53;517.00M;-2.22%
12/5/2023;3.61;271.78M;-0.82%
12/4/2023;3.64;187.61M;-0.27%
12/1/2023;3.65;319.08M;-0.27%
11/30/2023;3.66;278.50M;0.83%
11/29/2023;3.63;215.38M;-0.27%
11/28/2023;3.64;186.00M;0.28%
11/27/2023;3.63;309.87M;-0.82%
11/24/2023;3.66;222.23M;0.00%
11/23/2023;3.66;175.52M;0.00%
11/22/2023;3.66;163.34M;-0.27%
11/21/2023;3.67;274.81M;0.55%
11/20/2023;3.65;227.43M;0.55%
11/17/2023;3.63;192.79M;-0.55%
11/16/2023;3.65;311.54M;0.83%
11/15/2023;3.62;224.66M;-0.28%
11/14/2023;3.63;249.89M;0.28%
11/13/2023;3.62;195.19M;-0.28%
11/10/2023;3.63;307.45M;0.00%
11/9/2023;3.63;254.76M;0.83%
11/8/2023;3.6;162.67M;-0.28%
11/7/2023;3.61;261.56M;0.84%
11/6/2023;3.58;374.21M;-1.10%
11/3/2023;3.62;293.66M;-1.09%
11/2/2023;3.66;297.17M;1.10%
11/1/2023;3.62;309.28M;0.84%
10/31/2023;3.59;321.09M;0.84%
10/30/2023;3.56;603.88M;-1.93%
10/27/2023;3.63;419.81M;0.28%
10/26/2023;3.62;423.72M;1.69%
10/25/2023;3.56;540.13M;-1.11%
10/24/2023;3.6;402.92M;-1.37%
10/23/2023;3.65;292.00M;-0.27%
10/20/2023;3.66;420.77M;-0.27%
10/19/2023;3.67;471.85M;-1.87%
10/18/2023;3.74;313.79M;0.54%
10/17/2023;3.72;202.92M;0.27%
10/16/2023;3.71;329.20M;-0.27%
10/13/2023;3.72;507.28M;1.36%
10/12/2023;3.67;595.48M;0.55%
10/11/2023;3.65;370.70M;1.11%
10/10/2023;3.61;267.05M;0.28%
10/9/2023;3.6;302.26M;0.00%
09/28/2023;3.6;263.11M;1.12%
09/27/2023;3.56;315.46M;-1.66%
09/26/2023;3.62;258.60M;0.00%
09/25/2023;3.62;329.13M;0.84%
09/22/2023;3.59;371.43M;0.84%
09/21/2023;3.56;280.59M;-0.56%
09/20/2023;3.58;417.74M;1.42%
09/19/2023;3.53;363.57M;1.73%
09/18/2023;3.47;263.50M;0.00%
09/15/2023;3.47;355.54M;-0.86%
09/14/2023;3.5;455.29M;1.45%
09/13/2023;3.45;205.90M;0.29%
9/12/2023;3.44;116.05M;0.00%
9/11/2023;3.44;220.05M;-0.29%
9/8/2023;3.45;132.72M;-0.29%
9/7/2023;3.46;200.64M;0.00%
9/6/2023;3.46;129.96M;0.29%
9/5/2023;3.45;134.65M;-0.86%
9/4/2023;3.48;232.21M;1.16%
9/1/2023;3.44;213.34M;-0.58%
08/31/2023;3.46;206.70M;-0.57%
08/30/2023;3.48;219.12M;0.00%
08/29/2023;3.48;397.52M;-1.69%
08/28/2023;3.54;452.67M;1.72%
08/25/2023;3.48;260.66M;0.29%
08/24/2023;3.47;276.36M;-0.29%
08/23/2023;3.48;251.08M;0.00%
08/22/2023;3.48;316.33M;1.46%
08/21/2023;3.43;317.56M;-1.72%
08/18/2023;3.49;285.77M;0.58%
08/17/2023;3.47;245.52M;-0.57%
08/16/2023;3.49;213.22M;0.00%
08/15/2023;3.49;319.54M;2.05%
08/14/2023;3.42;279.42M;-1.16%
8/11/2023;3.46;302.29M;-1.70%
8/10/2023;3.52;183.12M;0.00%
8/9/2023;3.52;206.40M;0.28%
8/8/2023;3.51;197.35M;-0.57%
8/7/2023;3.53;267.32M;-0.56%
8/4/2023;3.55;280.59M;0.00%
8/3/2023;3.55;322.53M;1.14%
8/2/2023;3.51;501.01M;-3.31%
8/1/2023;3.63;214.86M;0.28%
07/31/2023;3.62;441.31M;0.28%
07/28/2023;3.61;327.43M;1.98%
07/27/2023;3.54;300.48M;1.72%
07/26/2023;3.48;178.46M;-0.29%
07/25/2023;3.49;319.51M;1.75%
07/24/2023;3.43;156.12M;0.59%
07/21/2023;3.41;149.44M;-0.29%
07/20/2023;3.42;208.74M;0.59%
07/19/2023;3.4;272.85M;0.00%
07/18/2023;3.4;400.17M;-6.08%
07/17/2023;3.62;432.38M;0.28%
07/14/2023;3.61;295.43M;0.00%
07/13/2023;3.61;317.19M;1.69%
7/12/2023;3.55;220.95M;0.57%
7/11/2023;3.53;184.50M;0.57%
7/10/2023;3.51;179.72M;-0.28%
7/7/2023;3.52;180.54M;0.28%
7/6/2023;3.51;343.99M;-1.13%
7/5/2023;3.55;211.62M;-0.28%
7/4/2023;3.56;372.93M;-1.66%
7/3/2023;3.62;358.69M;2.55%
06/30/2023;3.53;280.31M;1.15%
06/29/2023;3.49;286.43M;-0.85%
06/28/2023;3.52;325.25M;-0.28%
06/27/2023;3.53;411.39M;1.73%
06/26/2023;3.47;402.90M;-1.70%
06/21/2023;3.53;299.82M;0.86%
06/20/2023;3.5;305.48M;-0.57%
06/19/2023;3.52;439.92M;-1.68%
06/16/2023;3.58;285.34M;-0.56%
06/15/2023;3.6;362.61M;1.12%
06/14/2023;3.56;549.35M;-3.00%
06/13/2023;3.67;346.56M;0.27%
6/12/2023;3.66;440.98M;-0.54%
6/9/2023;3.68;342.52M;-0.81%
6/8/2023;3.71;503.61M;2.49%
6/7/2023;3.62;346.90M;1.69%
6/6/2023;3.56;374.26M;0.00%
6/5/2023;3.56;435.38M;2.89%
6/2/2023;3.46;343.75M;0.00%
6/1/2023;3.46;506.52M;-1.70%
05/31/2023;3.52;382.59M;0.57%
05/30/2023;3.5;397.54M;-1.69%
05/29/2023;3.56;342.98M;1.71%
05/26/2023;3.5;306.75M;1.74%
05/25/2023;3.44;434.51M;0.88%
05/24/2023;3.41;685.24M;-2.57%
05/23/2023;3.5;597.17M;-3.05%
05/22/2023;3.61;390.90M;-0.28%
05/19/2023;3.62;429.03M;-1.90%
05/18/2023;3.69;583.93M;3.07%
05/17/2023;3.58;365.12M;-0.56%
05/16/2023;3.6;659.37M;0.56%
05/15/2023;3.58;1.00B;0.56%
5/12/2023;3.56;458.14M;-0.84%
5/11/2023;3.59;544.04M;-0.55%
5/10/2023;3.61;1.17B;-5.74%
5/9/2023;3.83;1.12B;-1.54%
5/8/2023;3.89;1.18B;7.46%
5/5/2023;3.62;711.93M;1.12%
5/4/2023;3.58;748.33M;4.68%
04/28/2023;3.42;391.00M;0.00%
04/27/2023;3.42;455.36M;0.88%
04/26/2023;3.39;670.93M;-0.88%
04/25/2023;3.42;623.59M;1.79%
04/24/2023;3.36;462.03M;0.90%
04/21/2023;3.33;465.98M;-1.19%
04/20/2023;3.37;444.20M;0.00%
04/19/2023;3.37;463.12M;0.60%
04/18/2023;3.35;517.15M;1.52%
04/17/2023;3.3;424.18M;2.17%
04/14/2023;3.23;209.90M;-0.31%
04/13/2023;3.24;281.76M;0.31%
4/12/2023;3.23;411.67M;0.62%
4/11/2023;3.21;356.70M;1.26%
4/10/2023;3.17;353.46M;0.00%
4/7/2023;3.17;249.05M;-0.31%
4/6/2023;3.18;418.33M;0.95%
4/4/2023;3.15;426.68M;1.61%
4/3/2023;3.1;366.96M;-0.32%
03/31/2023;3.11;299.61M;0.65%
03/30/2023;3.09;264.25M;-0.32%
03/29/2023;3.1;359.32M;0.32%
03/28/2023;3.09;278.78M;1.31%
03/27/2023;3.05;434.53M;0.00%
03/24/2023;3.05;293.85M;-1.61%
03/23/2023;3.1;259.44M;0.32%
03/22/2023;3.09;293.58M;1.31%
03/21/2023;3.05;447.50M;-1.61%
03/20/2023;3.1;557.51M;0.65%
03/17/2023;3.08;503.81M;0.33%
03/16/2023;3.07;676.20M;0.99%
03/15/2023;3.04;347.69M;1.00%
03/14/2023;3.01;283.68M;0.00%
03/13/2023;3.01;278.80M;1.01%
3/10/2023;2.98;341.73M;-1.00%
3/9/2023;3.01;409.13M;-0.33%
3/8/2023;3.02;337.07M;0.33%
3/7/2023;3.01;855.57M;1.69%
3/6/2023;2.96;459.74M;-0.34%
3/3/2023;2.97;583.75M;1.37%
3/2/2023;2.93;222.67M;0.00%
3/1/2023;2.93;338.62M;0.00%
02/28/2023;2.93;185.70M;0.34%
02/27/2023;2.92;236.18M;0.00%
02/24/2023;2.92;263.54M;-0.34%
02/23/2023;2.93;284.61M;0.00%
02/22/2023;2.93;157.11M;-0.34%
02/21/2023;2.94;238.33M;0.00%
02/20/2023;2.94;339.04M;0.68%
02/17/2023;2.92;356.39M;0.34%
02/16/2023;2.91;180.79M;0.00%
02/15/2023;2.91;194.15M;0.00%
02/14/2023;2.91;117.04M;-0.34%
02/13/2023;2.92;288.26M;-0.34%
2/10/2023;2.93;130.49M;0.00%
2/9/2023;2.93;141.70M;0.34%
2/8/2023;2.92;227.57M;0.00%
2/7/2023;2.92;111.89M;0.00%
2/6/2023;2.92;193.45M;0.34%
2/3/2023;2.91;259.87M;-0.34%
2/2/2023;2.92;273.99M;0.00%
2/1/2023;2.92;260.66M;0.34%
01/31/2023;2.91;231.69M;-0.34%
01/30/2023;2.92;377.95M;0.00%
01/20/2023;2.92;306.48M;0.00%
01/19/2023;2.92;194.99M;0.00%
01/18/2023;2.92;222.89M;0.34%
01/17/2023;2.91;223.44M;0.00%
01/16/2023;2.91;561.15M;-1.02%
01/13/2023;2.94;308.33M;0.68%
1/12/2023;2.92;286.36M;0.34%
1/11/2023;2.91;198.16M;0.00%
1/10/2023;2.91;263.47M;-0.34%
1/9/2023;2.92;225.18M;0.00%
1/6/2023;2.92;362.16M;-0.34%
1/5/2023;2.93;297.22M;0.00%
1/4/2023;2.93;397.25M;1.03%
1/3/2023;2.9;298.77M;-0.34%
12/30/2022;2.91;385.46M;1.04%
12/29/2022;2.88;237.44M;-0.69%
12/28/2022;2.9;351.02M;0.35%
12/27/2022;2.89;356.66M;1.40%
12/26/2022;2.85;210.79M;-0.70%
12/23/2022;2.87;189.58M;0.35%
12/22/2022;2.86;138.65M;0.35%
12/21/2022;2.85;124.83M;0.00%
12/20/2022;2.85;236.56M;-1.04%
12/19/2022;2.88;262.82M;-0.69%
12/16/2022;2.9;269.71M;0.69%
12/15/2022;2.88;162.77M;-0.35%
12/14/2022;2.89;183.40M;0.35%
12/13/2022;2.88;267.21M;0.70%
12/12/2022;2.86;348.30M;-1.04%
12/9/2022;2.89;228.04M;-0.34%
12/8/2022;2.9;205.38M;0.69%
12/7/2022;2.88;295.30M;-0.35%
12/6/2022;2.89;323.86M;0.00%
12/5/2022;2.89;411.43M;1.05%
12/2/2022;2.86;239.65M;0.00%
12/1/2022;2.86;294.68M;-0.69%
11/30/2022;2.88;349.98M;0.00%
11/29/2022;2.88;499.38M;0.70%
11/28/2022;2.86;346.52M;-0.35%
11/25/2022;2.87;509.76M;1.41%
11/24/2022;2.83;165.86M;-0.35%
11/23/2022;2.84;345.72M;1.07%
11/22/2022;2.81;325.82M;0.72%
11/21/2022;2.79;192.33M;0.00%
11/18/2022;2.79;271.92M;0.00%
11/17/2022;2.79;196.00M;0.00%
11/16/2022;2.79;180.11M;-0.36%
11/15/2022;2.8;186.90M;0.00%
11/14/2022;2.8;330.32M;0.36%
11/11/2022;2.79;408.41M;1.09%
11/10/2022;2.76;334.55M;0.36%
11/9/2022;2.75;160.84M;0.73%
11/8/2022;2.73;271.55M;-0.73%
11/7/2022;2.75;286.72M;0.00%
11/4/2022;2.75;402.04M;1.10%
11/3/2022;2.72;187.46M;0.00%
11/2/2022;2.72;536.49M;-0.37%
11/1/2022;2.73;853.48M;-1.09%
10/31/2022;2.76;423.52M;-1.43%
10/28/2022;2.8;306.75M;0.00%
10/27/2022;2.8;581.57M;-1.06%
10/26/2022;2.83;535.90M;-0.70%
10/25/2022;2.85;320.27M;0.00%
10/24/2022;2.85;442.98M;-0.35%
10/21/2022;2.86;333.81M;0.35%
10/20/2022;2.85;218.32M;0.35%
10/19/2022;2.84;176.38M;-0.35%
10/18/2022;2.85;212.06M;0.00%
10/17/2022;2.85;175.81M;0.00%
10/14/2022;2.85;442.77M;-0.35%
10/13/2022;2.86;219.39M;0.00%
10/12/2022;2.86;298.42M;-0.35%
10/11/2022;2.87;393.08M;0.00%
10/10/2022;2.87;620.96M;0.35%
09/30/2022;2.86;260.21M;1.42%
09/29/2022;2.82;251.31M;-1.05%
09/28/2022;2.85;251.21M;0.71%
09/27/2022;2.83;239.16M;-0.70%
09/26/2022;2.85;366.76M;-1.04%
09/23/2022;2.88;419.12M;0.70%
09/22/2022;2.86;196.00M;0.00%
09/21/2022;2.86;253.24M;0.70%
09/20/2022;2.84;269.38M;-1.05%
09/19/2022;2.87;292.14M;0.70%
09/16/2022;2.85;419.14M;-0.70%
09/15/2022;2.87;397.12M;0.70%
09/14/2022;2.85;295.09M;0.00%
09/13/2022;2.85;314.40M;0.35%
9/9/2022;2.84;308.14M;0.35%
9/8/2022;2.83;166.48M;0.00%
9/7/2022;2.83;203.96M;-0.35%
9/6/2022;2.84;168.13M;0.00%
9/5/2022;2.84;153.97M;0.35%
9/2/2022;2.83;190.66M;0.00%
9/1/2022;2.83;150.50M;-0.70%
08/31/2022;2.85;434.22M;1.06%
08/30/2022;2.82;152.28M;0.00%
08/29/2022;2.82;182.69M;0.00%
08/26/2022;2.82;126.78M;-0.35%
08/25/2022;2.83;172.54M;0.35%
08/24/2022;2.82;181.39M;0.00%
08/23/2022;2.82;122.99M;0.00%
08/22/2022;2.82;140.18M;-0.35%
08/19/2022;2.83;133.51M;0.35%
08/18/2022;2.82;155.21M;-0.35%
08/17/2022;2.83;255.13M;0.35%
08/16/2022;2.82;117.20M;-0.35%
08/15/2022;2.83;175.76M;0.00%
8/12/2022;2.83;270.50M;-0.70%
8/11/2022;2.85;202.81M;0.35%
8/10/2022;2.84;117.81M;0.00%
8/9/2022;2.84;150.10M;0.00%
8/8/2022;2.84;244.45M;-0.70%
8/5/2022;2.86;191.46M;0.00%
8/4/2022;2.86;411.02M;2.14%
8/3/2022;2.8;215.98M;-0.36%
8/2/2022;2.81;297.66M;-1.06%
8/1/2022;2.84;204.91M;-0.35%
07/29/2022;2.85;230.83M;0.00%
07/28/2022;2.85;237.53M;0.35%
07/27/2022;2.84;192.56M;-0.70%
07/26/2022;2.86;252.62M;0.00%
07/25/2022;2.86;167.73M;0.35%
07/22/2022;2.85;302.24M;1.06%
07/21/2022;2.82;273.30M;-1.05%
07/20/2022;2.85;266.09M;0.35%
07/19/2022;2.84;362.60M;1.43%
07/18/2022;2.8;287.46M;1.45%
07/15/2022;2.76;572.56M;-6.44%
07/14/2022;2.95;870.20M;-1.99%
07/13/2022;3.01;630.67M;-0.99%
7/12/2022;3.04;536.45M;0.00%
7/11/2022;3.04;505.72M;0.33%
7/8/2022;3.03;301.24M;0.33%
7/7/2022;3.02;257.34M;0.00%
7/6/2022;3.02;447.25M;-0.33%
7/5/2022;3.03;259.95M;0.33%
7/4/2022;3.02;274.74M;0.33%
7/1/2022;3.01;208.30M;-0.33%
06/30/2022;3.02;334.24M;0.00%
06/29/2022;3.02;361.61M;0.33%
06/28/2022;3.01;275.00M;0.00%
06/27/2022;3.01;471.79M;0.00%
06/24/2022;3.01;343.71M;-0.33%
06/23/2022;3.02;341.63M;0.33%
06/22/2022;3.01;314.13M;0.00%
06/21/2022;3.01;343.80M;0.33%
06/20/2022;3;284.05M;-0.33%
06/17/2022;3.01;304.87M;0.33%
06/16/2022;3;373.66M;-0.99%
06/15/2022;3.03;526.83M;0.33%
06/14/2022;3.02;368.21M;0.67%
06/13/2022;3;344.44M;-0.66%
6/10/2022;3.02;574.59M;0.67%
6/9/2022;3;306.91M;0.33%
6/8/2022;2.99;334.91M;0.00%
6/7/2022;2.99;287.60M;0.00%
6/6/2022;2.99;485.61M;-0.66%
6/2/2022;3.01;248.77M;0.00%
6/1/2022;3.01;255.06M;-0.66%
05/31/2022;3.03;374.28M;0.33%
05/30/2022;3.02;360.55M;-0.66%
05/27/2022;3.04;223.68M;0.00%
05/26/2022;3.04;299.34M;0.33%
05/25/2022;3.03;254.08M;0.00%
05/24/2022;3.03;396.05M;0.66%
05/23/2022;3.01;272.53M;-0.33%
05/20/2022;3.02;362.68M;0.00%
05/19/2022;3.02;284.09M;0.00%
05/18/2022;3.02;196.55M;0.00%
05/17/2022;3.02;459.35M;-0.66%
05/16/2022;3.04;310.22M;-0.33%
05/13/2022;3.05;202.56M;0.66%
5/12/2022;3.03;228.87M;-0.66%
5/11/2022;3.05;431.73M;-1.29%
5/10/2022;3.09;389.75M;0.65%
5/9/2022;3.07;218.09M;0.66%
5/6/2022;3.05;239.74M;-0.97%
5/5/2022;3.08;376.94M;0.65%
04/29/2022;3.06;399.41M;0.00%
04/28/2022;3.06;453.66M;0.99%
04/27/2022;3.03;462.52M;-1.30%
04/26/2022;3.07;462.33M;0.33%
04/25/2022;3.06;528.14M;-0.97%
